
Star Data Extractor Tool
     Image: [1] m23_3.5_071.fit
     Stars Found: 2508 (good stars)
     Radius of star diaphragm: 5
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor: High = 1.04
       X	       Y	   Sigma	    FWHM	 Sky ADU	   Star ADU
  572.04	   94.08	    1.40	    3.28	   722.1	    14281.1
   34.29	  397.02	     n/a	     n/a	   720.6	    14261.0
  224.06	  598.51	    1.73	    4.07	   733.2	    14180.3
  860.28	  827.13	    1.47	    3.44	   701.1	    14130.4
  750.17	  322.79	     n/a	     n/a	   720.2	    14120.0
  530.23	  719.84	    1.56	    3.66	   723.2	    14080.6
  995.04	   17.77	    2.49	    5.85	   688.6	    13990.0
  297.06	  393.03	    1.76	    4.14	   746.1	    13989.4
   18.18	  480.73	    1.98	    4.66	   712.0	    13988.7
  170.78	  222.29	    1.69	    3.96	   737.1	    13870.2
  855.62	  564.46	    1.40	    3.30	   714.4	    13827.9
  533.92	  539.44	    1.46	    3.43	   739.8	    13808.1
  594.28	  441.28	     n/a	     n/a	   738.8	    13743.8
  245.69	  626.28	     n/a	     n/a	   725.8	    13684.4
  399.03	  187.45	    1.99	    4.67	   724.4	    13611.4
  413.43	  663.28	     n/a	     n/a	   726.3	    13549.0
  806.96	  648.99	    1.29	    3.03	   713.6	    13515.6
  606.31	  320.99	     n/a	     n/a	   731.1	    13439.0
  414.48	  663.35	    1.60	    3.76	   726.9	    13380.6
  205.91	  406.88	     n/a	     n/a	   735.5	    13359.8
   34.84	  397.54	    2.36	    5.55	   720.2	    13205.8
  994.62	   13.82	     n/a	     n/a	   690.3	    13138.1
  814.47	  989.51	     n/a	     n/a	   697.4	    13125.0
  471.92	  677.61	    1.58	    3.70	   727.2	    13085.3
  595.27	  441.00	    1.60	    3.76	   738.4	    13084.8
  929.73	  793.54	     n/a	     n/a	   710.1	    13032.3
  813.57	  988.34	    1.58	    3.71	   698.6	    13005.3
  116.54	  814.08	     n/a	     n/a	   714.0	    12861.2
  994.57	   13.57	     n/a	     n/a	   690.1	    12843.6
  531.06	  320.68	    1.33	    3.11	   725.4	    12792.7
  392.95	  736.79	    1.63	    3.84	   718.4	    12676.5
  929.60	  794.21	     n/a	     n/a	   710.5	    12587.5
  700.58	  620.49	    1.45	    3.41	   722.8	    12530.5
  887.28	   40.04	    1.66	    3.91	   697.7	    12435.4
  208.59	  938.86	    2.05	    4.83	   704.6	    12311.9
  246.37	  626.44	    1.98	    4.64	   728.0	    12173.9
  946.58	  816.59	    1.71	    4.02	   699.2	    12172.3
  915.00	  189.68	    1.26	    2.97	   699.3	    12151.0
   35.30	  397.80	    2.85	    6.70	   720.6	    12140.6
  870.97	  127.64	    1.28	    3.01	   708.2	    12063.4
  570.06	  212.57	    1.53	    3.60	   713.8	    12053.9
  761.98	  672.97	    1.62	    3.80	   724.2	    11910.9
  748.59	  239.64	    1.38	    3.25	   711.9	    11790.5
  277.81	  843.95	    1.87	    4.40	   708.3	    11787.6
   39.84	  485.25	     n/a	     n/a	   717.3	    11786.6
  742.33	  762.98	    1.47	    3.46	   711.1	    11720.0
  303.24	  864.23	    1.88	    4.42	   711.7	    11692.0
  535.08	  848.27	     n/a	     n/a	   717.3	    11646.0
  534.75	  848.95	    1.63	    3.83	   717.0	    11640.2
  747.61	  239.03	     n/a	     n/a	   712.8	    11627.1
  248.04	  487.95	    1.66	    3.89	   738.9	    11617.4
  939.98	  711.01	    1.38	    3.25	   703.8	    11610.1
  340.23	  229.80	    1.78	    4.19	   723.1	    11609.1
   17.74	  176.79	     n/a	     n/a	   707.4	    11601.2
  778.98	  356.31	    1.84	    4.32	   718.1	    11600.1
  205.36	  846.85	    2.21	    5.20	   713.3	    11597.6
  680.10	  376.98	     n/a	     n/a	   726.6	    11594.7
   15.51	  202.43	    1.84	    4.33	   707.8	    11579.6
  844.99	  521.37	    1.14	    2.67	   714.1	    11559.9
  422.24	  709.14	    1.57	    3.68	   747.3	    11397.9
  606.96	  322.50	     n/a	     n/a	   731.6	    11397.8
  881.96	  291.66	    1.24	    2.91	   705.9	    11268.6
   41.55	  488.43	     n/a	     n/a	   721.7	    11207.2
  399.27	  253.92	    1.71	    4.02	   721.3	    11096.6
   13.92	  200.83	     n/a	     n/a	   707.9	    11095.1
  650.01	  384.35	    1.49	    3.51	   727.1	    11063.7
  478.96	  730.63	     n/a	     n/a	   727.6	    10988.3
  930.96	  127.35	    1.46	    3.43	   697.8	    10923.7
  621.06	  697.25	     n/a	     n/a	   733.3	    10903.0
   60.08	  540.49	    1.90	    4.46	   705.1	    10843.6
  772.03	   40.37	    1.53	    3.59	   699.5	    10796.6
   41.91	  488.77	    1.98	    4.66	   721.4	    10723.7
  661.17	  149.19	    1.55	    3.65	   712.5	    10716.4
  158.35	  244.11	    1.82	    4.29	   728.1	    10676.2
  900.74	  138.98	     n/a	     n/a	   701.0	    10661.4
   88.20	  576.42	    2.01	    4.73	   705.8	    10643.1
   42.11	  488.75	    2.05	    4.81	   721.0	    10636.7
  900.23	  139.14	    1.27	    2.98	   701.4	    10570.8
   42.17	  488.76	    2.07	    4.87	   721.1	    10523.7
  244.54	  748.34	    1.72	    4.05	   713.9	    10507.6
  931.57	  253.19	    1.50	    3.52	   701.9	    10503.0
  927.00	  959.92	    1.48	    3.47	   687.1	    10467.2
   39.55	  485.01	     n/a	     n/a	   717.1	    10446.1
  415.77	  542.05	    1.61	    3.79	   738.1	    10401.3
  367.33	  704.96	    1.60	    3.77	   724.3	    10394.1
  665.07	  626.05	    1.25	    2.95	   725.0	    10388.5
  678.62	  378.49	     n/a	     n/a	   727.5	    10386.9
  900.10	  139.24	    1.34	    3.15	   701.4	    10361.8
  331.48	  301.62	    1.62	    3.80	   735.9	    10329.0
  587.97	  315.55	    1.30	    3.06	   727.5	    10242.7
  394.56	  612.51	    1.62	    3.81	   726.9	    10237.0
   42.09	  488.96	    1.95	    4.57	   721.3	    10234.3
  585.60	  829.60	    1.59	    3.74	   719.5	    10149.0
  570.57	  922.64	     n/a	     n/a	   703.3	    10119.1
  929.89	  791.61	     n/a	     n/a	   710.2	    10054.1
  643.23	  566.12	    1.63	    3.84	   731.1	    10052.5
  621.50	  695.94	    1.53	    3.60	   735.5	    10047.0
  246.63	  885.92	    1.83	    4.31	   708.4	    10045.1
  878.81	  829.13	    1.43	    3.36	   704.6	     9995.7
  133.87	  389.29	     n/a	     n/a	   723.7	     9958.4
  214.97	  135.72	    1.81	    4.25	   720.4	     9937.7
  961.48	  901.87	    1.70	    3.99	   694.8	     9849.5
  212.32	  894.47	     n/a	     n/a	   705.9	     9829.9
  350.48	  794.53	    1.89	    4.45	   708.6	     9816.3
  155.61	  254.60	    1.75	    4.10	   727.0	     9794.9
  133.35	  388.98	    1.82	    4.27	   723.9	     9791.0
  315.74	  379.57	    1.54	    3.62	   741.9	     9766.0
  696.59	  335.67	    1.54	    3.63	   722.5	     9700.8
  642.82	  944.80	    1.69	    3.98	   703.1	     9661.1
  354.55	  329.64	     n/a	     n/a	   735.0	     9660.6
  354.76	  330.25	     n/a	     n/a	   735.5	     9647.2
  616.53	  857.43	    1.73	    4.07	   713.4	     9624.8
  607.44	  323.10	    2.12	    4.99	   731.0	     9618.3
  593.96	   66.67	    1.56	    3.67	   709.6	     9591.8
  213.46	  893.87	    2.02	    4.74	   704.4	     9575.6
  273.33	  777.91	    1.80	    4.23	   716.5	     9517.9
  924.39	  300.86	    1.31	    3.07	   709.0	     9497.9
  966.36	  521.15	    1.34	    3.14	   701.7	     9391.9
  377.05	  598.97	    1.45	    3.41	   732.4	     9368.9
  568.51	  924.08	    1.75	    4.11	   705.7	     9361.7
